SAVVY — Master Roofing Task Lifecycle,,,,,,,,,,
212 tasks across 15 phases · 4 job types · Automation levels & difficulty ratings,,,,,,,,,,
,,,,,,,,,,
#,Task,Phase,Job Type,Automation Level,What Gets Automated,Trigger,Owner,Savvy Agent,Difficulty (1-10),
196,Warranty analytics & trending,Warranty Management,All,Full Auto,"Identifies patterns: crew, material, or area-based failures",Monthly analysis,System,Orchestrator,6,
OPERATIONS & COMPLIANCE,,,,,,,,,,
197,License & certification renewal tracking,Operations & Compliance,All,Full Auto,"Alerts on upcoming expirations for ROC, insurance, certs",60 days before expiry,System,Orchestrator,3,
198,Insurance policy renewal management,Operations & Compliance,All,Partial Auto,"Tracks GL, WC, auto, umbrella policy renewals",90 days before expiry,Admin,Orchestrator,3,
199,OSHA compliance documentation,Operations & Compliance,All,Partial Auto,"Maintains safety records, training logs, incident reports",Ongoing,Admin,Orchestrator,4,
200,Employee/sub COI expiration monitoring,Operations & Compliance,All,Full Auto,Auto-requests updated COI 30 days before expiration,30 days before expiry,System,Orchestrator,3,
201,Supply chain vendor management,Operations & Compliance,All,Partial Auto,"Tracks pricing, lead times, relationships across suppliers",Ongoing,Production Mgr,Orchestrator,4,
202,Inventory tracking (warehouse/yard),Operations & Compliance,All,Partial Auto,"Tracks leftover materials, returns, reusable stock",Material movement,Production Mgr,Finance Agent,5,
203,New hire onboarding automation,Operations & Compliance,All,Partial Auto,"Digital onboarding workflow: docs, training, equipment",New hire,Admin,Orchestrator,4,
204,Training & certification tracking,Operations & Compliance,All,Partial Auto,"Tracks crew safety certs, manufacturer training, renewals",Ongoing,Admin,Orchestrator,4,
205,Building code update monitoring,Operations & Compliance,All,Partial Auto,Monitors local code changes that affect roofing practices,Code update published,Estimator,Claims Agent,5,
206,Customer data privacy compliance,Operations & Compliance,All,Partial Auto,"Manages data retention, consent records, opt-outs",Ongoing,Admin,Orchestrator,4,
REPORTING & ANALYTICS,,,,,,,,,,
207,Daily flash report,Reporting & Analytics,All,Full Auto,"Auto-generates daily KPIs: leads, appointments, jobs, revenue",End of day,System,Finance Agent,4,
208,Weekly scorecard (EOS-compatible),Reporting & Analytics,All,Full Auto,Tracks EOS scorecard metrics with trend indicators,Weekly trigger,System,Finance Agent,5,
209,Monthly P&L by job type,Reporting & Analytics,All,Full Auto,"Revenue, COGS, gross margin breakdown by job category",Monthly trigger,System,Finance Agent,5,
210,Sales rep performance dashboard,Reporting & Analytics,All,Full Auto,"Lead conversion, revenue, margin per rep with rankings",Real-time,System,Finance Agent,5,
211,Crew productivity analytics,Reporting & Analytics,All,Full Auto,"Squares/day, callbacks, material waste per crew",Job complete,System,Orchestrator,5,
212,Pipeline forecast & cash flow projection,Reporting & Analytics,All,Full Auto,Projects revenue and cash flow from pipeline data,Weekly trigger,System,Finance Agent,7,
